[2024-01-05 17:21:17,926]::3435124833::DEBUG::=============15Frame VAA Fusion in stage 3 dim=128 head4,8,16,32+Video swin transformerTrain Strat!=============
[2024-01-05 17:21:57,828]::3435124833::DEBUG::=============15Frame VAA Fusion in stage 3 dim=128 head4,8,16,32+Video swin transformerTrain Strat!=============
[2024-01-05 17:23:23,071]::3435124833::DEBUG::=============15Frame VAA Fusion in stage 3 dim=128 head4,8,16,32+Video swin transformerTrain Strat!=============
[2024-01-05 17:25:58,518]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3+Video swin transformerTrain Strat!=============
[2024-01-05 17:27:18,332]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3+Video swin transformerTrain Strat!=============
[2024-01-05 17:27:56,925]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3+Video swin transformerTrain Strat!=============
[2024-01-05 17:28:56,859]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3+Video swin transformerTrain Strat!=============
[2024-01-05 17:34:23,792]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3+Video swin transformerTrain Strat!=============
[2024-01-05 17:42:08,122]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3 VTT+Video swin transformerTrain Strat!=============
[2024-01-05 17:51:28,502]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3 VTT+Video swin transformerTrain Strat!=============
[2024-01-05 17:51:57,765]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3 VTT+Video swin transformerTrain Strat!=============
[2024-01-05 17:53:07,054]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3 VTT+Video swin transformerTrain Strat!=============
[2024-01-05 18:10:03,098]::3435124833::DEBUG::=============15Framestext_video fusion in layer 3 VTT+Video swin transformerTrain Strat!=============
[2024-01-05 18:18:03,560]::2955207736::DEBUG::Epoch: 1 , 1-MAE: 0.8657 , 1-train_avg_loss:0.8509 , 1-val_avg_loss:0.8657 , MAX Value:0.1343 , MAX Value Epoch:1
[2024-01-05 18:25:54,222]::2955207736::DEBUG::Epoch: 2 , 1-MAE: 0.8788 , 1-train_avg_loss:0.8657 , 1-val_avg_loss:0.8788 , MAX Value:0.1212 , MAX Value Epoch:2
[2024-01-05 18:33:46,085]::2955207736::DEBUG::Epoch: 3 , 1-MAE: 0.8920 , 1-train_avg_loss:0.8813 , 1-val_avg_loss:0.8920 , MAX Value:0.1080 , MAX Value Epoch:3
[2024-01-05 18:41:37,932]::2955207736::DEBUG::Epoch: 4 , 1-MAE: 0.8887 , 1-train_avg_loss:0.8878 , 1-val_avg_loss:0.8887 , MAX Value:0.1113 , MAX Value Epoch:4
[2024-01-05 18:49:29,956]::2955207736::DEBUG::Epoch: 5 , 1-MAE: 0.8932 , 1-train_avg_loss:0.8948 , 1-val_avg_loss:0.8932 , MAX Value:0.1068 , MAX Value Epoch:5
[2024-01-05 18:57:20,652]::2955207736::DEBUG::Epoch: 6 , 1-MAE: 0.8950 , 1-train_avg_loss:0.9008 , 1-val_avg_loss:0.8950 , MAX Value:0.1050 , MAX Value Epoch:6
[2024-01-05 19:05:11,057]::2955207736::DEBUG::Epoch: 7 , 1-MAE: 0.8860 , 1-train_avg_loss:0.9076 , 1-val_avg_loss:0.8860 , MAX Value:0.1140 , MAX Value Epoch:7
[2024-01-05 19:13:01,232]::2955207736::DEBUG::Epoch: 8 , 1-MAE: 0.8997 , 1-train_avg_loss:0.9121 , 1-val_avg_loss:0.8997 , MAX Value:0.1003 , MAX Value Epoch:8
[2024-03-19 21:10:07,582]::3435124833::DEBUG::============= VTT+Video swin transformerTrain Strat!=============
[2024-03-19 21:10:53,960]::3435124833::DEBUG::============= VTT+Video swin transformerTrain Strat!=============
[2024-03-19 21:34:39,522]::387438924::DEBUG::=============fullshot and xlm-roberta+Video swin transformerTrain Strat!=============
[2024-03-19 21:35:35,811]::387438924::DEBUG::=============fullshot and xlm-roberta+Video swin transformerTrain Strat!=============
[2024-03-19 21:38:09,257]::387438924::DEBUG::=============fullshot and text+Video swin transformerTrain Strat!=============VTT
[2024-03-19 21:46:10,490]::1375840674::DEBUG::Epoch: 1 , 1-MAE: 0.8685 , 1-val_avg_o_loss:0.8110 , 1-val_avg_c_loss:0.8704 , 1-val_avg_e_loss:0.8988 , 1-val_avg_a_loss:0.8761 , 1-val_avg_n_loss:0.8860
[2024-03-19 21:52:32,426]::1375840674::DEBUG::Epoch: 2 , 1-MAE: 0.8684 , 1-val_avg_o_loss:0.8764 , 1-val_avg_c_loss:0.8928 , 1-val_avg_e_loss:0.8840 , 1-val_avg_a_loss:0.8327 , 1-val_avg_n_loss:0.8563
[2024-03-19 21:58:54,860]::1375840674::DEBUG::Epoch: 3 , 1-MAE: 0.8828 , 1-val_avg_o_loss:0.8827 , 1-val_avg_c_loss:0.8759 , 1-val_avg_e_loss:0.8908 , 1-val_avg_a_loss:0.8958 , 1-val_avg_n_loss:0.8687
[2024-03-19 22:05:16,477]::1375840674::DEBUG::Epoch: 4 , 1-MAE: 0.8890 , 1-val_avg_o_loss:0.8825 , 1-val_avg_c_loss:0.8851 , 1-val_avg_e_loss:0.9089 , 1-val_avg_a_loss:0.8783 , 1-val_avg_n_loss:0.8904
[2024-03-19 22:11:40,034]::1375840674::DEBUG::Epoch: 5 , 1-MAE: 0.9003 , 1-val_avg_o_loss:0.9053 , 1-val_avg_c_loss:0.9015 , 1-val_avg_e_loss:0.9091 , 1-val_avg_a_loss:0.9017 , 1-val_avg_n_loss:0.8837
[2024-03-19 22:18:02,637]::1375840674::DEBUG::Epoch: 6 , 1-MAE: 0.9038 , 1-val_avg_o_loss:0.9060 , 1-val_avg_c_loss:0.9040 , 1-val_avg_e_loss:0.9106 , 1-val_avg_a_loss:0.8870 , 1-val_avg_n_loss:0.9112
[2024-03-19 22:24:25,268]::1375840674::DEBUG::Epoch: 7 , 1-MAE: 0.9087 , 1-val_avg_o_loss:0.9106 , 1-val_avg_c_loss:0.9063 , 1-val_avg_e_loss:0.9111 , 1-val_avg_a_loss:0.9052 , 1-val_avg_n_loss:0.9104
[2024-03-19 22:30:47,714]::1375840674::DEBUG::Epoch: 8 , 1-MAE: 0.9088 , 1-val_avg_o_loss:0.9091 , 1-val_avg_c_loss:0.9070 , 1-val_avg_e_loss:0.9106 , 1-val_avg_a_loss:0.9092 , 1-val_avg_n_loss:0.9082
[2024-03-19 22:37:10,346]::1375840674::DEBUG::Epoch: 9 , 1-MAE: 0.9092 , 1-val_avg_o_loss:0.9118 , 1-val_avg_c_loss:0.9065 , 1-val_avg_e_loss:0.9105 , 1-val_avg_a_loss:0.9070 , 1-val_avg_n_loss:0.9100
[2024-03-19 22:43:34,294]::1375840674::DEBUG::Epoch: 10 , 1-MAE: 0.9040 , 1-val_avg_o_loss:0.9037 , 1-val_avg_c_loss:0.8998 , 1-val_avg_e_loss:0.9066 , 1-val_avg_a_loss:0.9017 , 1-val_avg_n_loss:0.9083
[2024-03-19 22:49:57,171]::1375840674::DEBUG::Epoch: 11 , 1-MAE: 0.9019 , 1-val_avg_o_loss:0.9074 , 1-val_avg_c_loss:0.9050 , 1-val_avg_e_loss:0.8932 , 1-val_avg_a_loss:0.8993 , 1-val_avg_n_loss:0.9048
[2024-03-19 22:56:19,456]::1375840674::DEBUG::Epoch: 12 , 1-MAE: 0.9044 , 1-val_avg_o_loss:0.9117 , 1-val_avg_c_loss:0.9070 , 1-val_avg_e_loss:0.9095 , 1-val_avg_a_loss:0.9073 , 1-val_avg_n_loss:0.8866
[2024-03-19 23:02:41,561]::1375840674::DEBUG::Epoch: 13 , 1-MAE: 0.9097 , 1-val_avg_o_loss:0.9099 , 1-val_avg_c_loss:0.9074 , 1-val_avg_e_loss:0.9105 , 1-val_avg_a_loss:0.9094 , 1-val_avg_n_loss:0.9113
[2024-03-19 23:09:03,263]::1375840674::DEBUG::Epoch: 14 , 1-MAE: 0.9100 , 1-val_avg_o_loss:0.9121 , 1-val_avg_c_loss:0.9041 , 1-val_avg_e_loss:0.9148 , 1-val_avg_a_loss:0.9088 , 1-val_avg_n_loss:0.9101
[2024-03-19 23:15:26,316]::1375840674::DEBUG::Epoch: 15 , 1-MAE: 0.9095 , 1-val_avg_o_loss:0.9115 , 1-val_avg_c_loss:0.9061 , 1-val_avg_e_loss:0.9128 , 1-val_avg_a_loss:0.9107 , 1-val_avg_n_loss:0.9062
[2024-03-19 23:21:48,349]::1375840674::DEBUG::Epoch: 16 , 1-MAE: 0.9056 , 1-val_avg_o_loss:0.9106 , 1-val_avg_c_loss:0.9064 , 1-val_avg_e_loss:0.8999 , 1-val_avg_a_loss:0.9097 , 1-val_avg_n_loss:0.9017
